Not Found by Scholarly,CSSS Name Update (incorrect originally),Found Manually?,Affiliation,Found ResearchGate?
Ana Maria Gomez Lopez,,No,,No
David Masad,,No,,https://www.researchgate.net/scientific-contributions/2089890944_David_Masad
Xander Brehm,,No,,No
Xinya He,,No,,No
Sarah J. Berkemer,,No,,https://www.researchgate.net/scientific-contributions/2045181000_Sarah_J_Berkemer
Devrim Ikizler,,No,,https://www.researchgate.net/scientific-contributions/2026871370_Devrim_Ikizler
Ian Hatton,,No,,https://www.researchgate.net/scientific-contributions/2093346985_Ian_Hatton
James Holdener,,No,,No
Ellen Badgley,,No,,No
Alex Shannon,,No,,No
Jared Edgerton,,No,,No
Xue Guo,,No,,No
Lorraine Sugar,,No,,https://www.researchgate.net/scientific-contributions/85860657_Lorraine_Sugar
Yuji Saikai,,No,,No
Ernest Yu Liu,,No,,https://www.researchgate.net/profile/Yu_Liu275
Shantal Lichang Cheong,,No,,No
Yizhi (Elise) Jing,,Elise Jing,Indiana University Bloomington,No
Lin-Qing Chen,,No,,https://www.researchgate.net/profile/Linqing_Chen
Marcus Nordström,,No,,No
Catriona Sissons,,No,,No
Ariadna Venegas-Li,,No,,https://www.researchgate.net/scientific-contributions/2029836596_Ariadna_Venegas-Li
Josefine Bohr Brask,,No,,https://www.researchgate.net/scientific-contributions/2152886310_Josefine_Bohr_Brask
Patricia Mellodge,,No,,No
Xiao (Thomas) Zhang,,Xiao Zhang,umich.edu,No
Moriah Echlin,,No,,https://www.researchgate.net/profile/Moriah_Echlin
Urs Braun,,No,,No
Ilaria Bertazzi,,No,,https://www.researchgate.net/profile/Ilaria_Bertazzi
Bruno Abrahao,,No,,No
Nicholas Foti,,No,,No
Jing Li,,No,,No
Erik Van den broecke,,No,,No
Guannan Gong,,No,,No
Nai Seng Wong,,No,,No
Rudi Minxha,,No,,No
Spencer Matthews,,No,,No
William Leibzon,,No,,https://www.researchgate.net/profile/William_Leibzon
Xiongrui (John) Xu,,No,,No
Rossitsa Yalamova,,No,,No
Austin Dingwall,,No,,No
Nicolas Scholtes,,No,,No
Gabriele La Spada,,No,,https://www.researchgate.net/profile/Gabriele_La_Spada
Brady Stoll,,No,,No
Shai Gorsky,,No,,No
Chip Burgess,,No,,No
Elaine Bochniewicz,,No,,No
Basak Taraktas,,No,,https://www.researchgate.net/profile/Basak_Taraktas
Laura Elsler,,No,,No
Junfu Zhao,,No,,No
Chad Gonzales,,No,,No
Tim Johann,,No,,No
Balazs Adamcsek,,No,,https://www.researchgate.net/scientific-contributions/2014857096_Balazs_Adamcsek
Carver Tate,,No,,No
Maria Széliga,,No,,No
Varsha Kulkarni,,No,,No
Alexander Shpunt,,No,,https://www.researchgate.net/scientific-contributions/70906670_Alexander_Shpunt
Leo Horstmeyer,,No,,https://www.researchgate.net/profile/Leonhard_Horstmeyer
Kurt Severance,,No,,No
Ells Campbell,,No,,No
Manish Nag,,No,,https://www.researchgate.net/profile/Manish_Nag2
James Rigdon,,No,,No
Marco Antonio Duenas Esterling,,Marco Dueñas,Universidad Jorge Tadeo Lozano,No
Keisuke Okamoto,,No,,No
Mark Kirstein,,No,,No
Nix Barnett,,No,,No
Cornelia Kreutzer,,No,,No
Elise Larose-Filotas,,No,,No
Kyle Reing,,No,,https://www.researchgate.net/scientific-contributions/2110688864_Kyle_Reing
Nick Allgaier,,No,,No
Glen Otero,,No,,No
Anton Burykin,,No,,No
Amelie Veron,,No,,No
Karen Simpson,,No,,No
Lara Danilova-Burdess,,No,,No
Aristoklis Anastasiadis,,No,,No
Abigail (Abby) Horn,,Abigail L. Horn,University of Southern California,https://www.researchgate.net/profile/Abigail_Horn
Neiloufar Family,,No,,https://www.researchgate.net/profile/Neiloufar_Family
Sandro Lera,,No,,https://www.researchgate.net/scientific-contributions/2079813368_Sandro_Claudio_Lera
Chris Atwood,,No,,No
Ulf Aslak Jensen,,Ulf Aslak,econ.ku.dk,https://www.researchgate.net/scientific-contributions/2135421565_Ulf_Aslak
Yael Gurevich,,No,,https://www.researchgate.net/profile/Yael_Gurevich2
Shanee Stopnitzky,,No,,No
Blaz Krese,,No,,No
Daniel Citron,,No,,No
Alexis Dinno,,"Pubs, No Profile",,https://www.researchgate.net/scientific-contributions/15107117_Alexis_Dinno
Jean-Gabirel Young,Jean-Gabriel Young,Jean-Gabriel Young,University of Michigan,https://www.researchgate.net/profile/Jean_Gabriel_Young
Aina Ollé Vila,,"Pubs, No Profile",,https://www.researchgate.net/profile/Aina_Olle-Vila
Tracey McDole,,No,,No
Adam Leising,,No,,No
Hamid Benbrahim,,No,,No
Zoe Henscheid,,No,,https://www.researchgate.net/scientific-contributions/2015138139_Zoe_A_Henscheid
Rajani R. Shenoy,,No,,No
Jennifer Terpstra,,"Pubs, No Profile",,https://www.researchgate.net/scientific-contributions/13828618_Jennifer_Terpstra
Andrea Kiraly,,No,,No
Yan-Jia Zhao,,No,,No
Federico Bert,,No,,No
Jaqueline Garcia-Yi,,"Pubs, No Profile",,https://www.researchgate.net/profile/Jaqueline_Garcia-Yi
Christopher Verzijl,,CJO Verzijl,ABN AMRO,No
Andrew Banooni,,No,,No
Inga Holmdahl,,No,,No
Saleha Habibullah,,No,,No
Neal McCollom,,No,,No
Guimei Zhu,,No,,https://www.researchgate.net/scientific-contributions/29795048_Guimei_Zhu
Masayoshi Kubo,,No,,No
Marie-Pierre Hasne,,No,,https://www.researchgate.net/profile/Marie_Pierre_Hasne
Rhonda BeLue,,"Pubs, No Profile",,https://www.researchgate.net/profile/Rhonda_Belue2
Peter Geissert,,"Pubs, No Profile",,https://www.researchgate.net/profile/Peter_Geissert
B. Shiva Mayer,,No,,No
Freya Casier,,"Pubs, No Profile",,https://www.researchgate.net/scientific-contributions/2141113819_FREYA_CASIER
Heather Beil,,"Pubs, No Profile",,https://www.researchgate.net/scientific-contributions/75433282_Heather_Beil
Heither Beil,Heather Beil (misspelling of above),No,,No
Kathrine Behrman,,No,,https://www.researchgate.net/scientific-contributions/2083478901_Kathrine_D_Behrman
Mollie Poynton,,"Pubs, No Profile",,https://www.researchgate.net/profile/Mollie_Cummins
Gregor Obernoster,Gregor Obernosterer (misspelling of below),"Pubs, No Profile",,https://www.researchgate.net/scientific-contributions/58600439_Gregor_Obernosterer
Hilje Doekes,,"Pubs, No Profile",,https://www.researchgate.net/scientific-contributions/2120835130_Hilje_M_Doekes
Ramona Roller,,No,,https://www.researchgate.net/profile/Ramona_Roller2
Nicholas Mathis,,Cole Mathis,University of Glasgow,https://www.researchgate.net/profile/Cole_Mathis
Maureen Ballard,,No,,No
Petr Svarc,,No,,No
Hamza Giaffar,,No,,No
Graham Sack,,No,,No
Zhou Chunlai,,No,,No
Stojan Davidovic,,"Pubs, No Profile",,https://www.researchgate.net/profile/Stojan_Davidovic
Linsey O'Brien,,No,,No
Philip Pika,,No,,No
Danilo Liuzzi,,"Pubs, No Profile",,https://www.researchgate.net/profile/Danilo_Liuzzi
Carol Strohecker,,"Pubs, No Profile",,https://www.researchgate.net/profile/Carol_Strohecker
Eitan Pechenick,,"Pubs, No Profile",,https://www.researchgate.net/scientific-contributions/2062453409_Eitan_Adam_Pechenick
Jennifer Huff,,No,,No
Kevin T. Comer,,Kevin Comer,The MITRE Corporation,No
Asher Mullokandov,,No,,No
Toshimori Kitami,,No,,No
Habiballah Talavatifard,,"Pubs, No Profile",,No
Kofi K. Khamit-Kush,,No,,No
Biljana Petreska,,No,,https://www.researchgate.net/scientific-contributions/13964417_Biljana_Petreska
Lars Hubatsch,,No,,https://www.researchgate.net/profile/Lars_Hubatsch
Vale Bacetti,,No,,No
Gregor Obernosterer,,"Pubs, No Profile",,https://www.researchgate.net/scientific-contributions/58600439_Gregor_Obernosterer
Emily Shouppe,,No,,No
Alejandro Balbin,,No,,No
John Litherland,,No,,No
Alessandro Gagliardi,,No,,No
Jesus Mario Serna,,No,,https://www.researchgate.net/profile/Jesus_Serna
Fatima Rateb de Montozon,,No,,No
Will Braynen,,No,,No
Kayla Sale,,No,,No
Elizabeth Mullane,,No,,No
Tobias Morville,,No,,No
Evelyn Strombom,,"Pubs, No Profile",,https://www.researchgate.net/profile/Evelyn_Strombom
Surendra Hazarie,,No,,No
Camille Stephan-Otto Attolini,,"Pubs, No Profile",,https://www.researchgate.net/profile/Camille_Stephan-Otto_Attolini
Jacob P. Rutten,,No,,https://www.researchgate.net/profile/Jacob_Rutten
Nathan Menke,,No,,No
Molly Rorick,,No,,No
Corinne Teeter,,No,,No
Alje van Dam,,No,,No
Tim Kunisky,,"Pubs, No Profile",,No
Brian Chapados,,No,,No
Stefan Braunewell,,No,,No
Sebastian Fallert,,No,,No
Christoph Neugebauer,,No,,No
Lukas Kroc,,"Pubs, No Profile",,https://www.researchgate.net/scientific-contributions/31067663_Lukas_Kroc
Puduru Reddy,,No,,No
Maria Vivien Visaya,,"Pubs, No Profile",,https://www.researchgate.net/scientific-contributions/2063175187_Maria_Vivien_Visaya
Rainer Stollhoff,,No,,No
Kristen Honey,,No,,No
David Papo,,"Pubs, No Profile",,https://www.researchgate.net/profile/David_Papo
Marko Thaler,,No,,No
Srideep Musuvathy,,"Pubs, No Profile",,https://www.researchgate.net/profile/Srideep_Musuvathy
Ruben Kubiak,,No,,No
Samuel Laney,,"Pubs, No Profile",,No
Jess Mar,,No,,No
Markus Junginger,,"Pubs, No Profile",,No
Meghan Galiardi,,No,,No
Tanja Gesell,,"Pubs, No Profile",,No
Piotr Milanowski,,No,,No
Nish Aravamudan,,No,,No
Ana Hocevar,,No,,No
James Battin,,No,,No
Peace Ogbogbo,,No,,No
Liquan Pei,,No,,No
Yike Ren,,No,,No
AmaraAl Sayegh,Amara Al Sayegh,"Pubs, No Profile",,https://www.researchgate.net/profile/Amara_Al_Sayegh
Jarrod J. Scott,,"Pubs, No Profile",,https://www.researchgate.net/profile/Jarrod_Scott
Rio Deswandi,,"Pubs, No Profile",,https://www.researchgate.net/scientific-contributions/73303974_Rio_Deswandi
Florian Sabou,,"Pubs, No Profile",,https://www.researchgate.net/scientific-contributions/74973112_Florian_C_Sabou
Joao Filipe Monteiro,,No,,https://www.researchgate.net/profile/Joao_Filipe_Monteiro
Jae Beum Cho,,No,,https://www.researchgate.net/profile/Jae_Cho15
Haripriya Chakraborty,,No,,No
Carlos Viniegra,,No,,No
Thomson McFarland,,No,,No
Mareen Hofman,,No,,No
Tom Pike,,No,,No
Friederike Greb,,No,,No
Thomas Fennewald,,"Pubs, No Profile",,https://www.researchgate.net/profile/Thomas_Fennewald
Sebastian Poledna,,"Pubs, No Profile",,https://www.researchgate.net/scientific-contributions/2005565438_Sebastian_Poledna
Prasanta Bose,,No,,No
Fabio Cresto Aleina,,"Pubs, No Profile",,https://www.researchgate.net/scientific-contributions/2007064433_F_Cresto_Aleina
Maarten Wensink,,No,,No
James Gentile,,No,,No
Mario Andres Munoz Acosta,,No,,https://www.researchgate.net/profile/Mario_Andres_Munoz_Acosta
Andrew Schauf,,No,,No
Marjan Fadavi Arkekani,,No,,No
Rana Azghandiz,Rana Azghandi,Rana Azghandi,Northeastern University,https://www.researchgate.net/profile/Rana_Azghandi
Anna Pechenkina,,No,,No
Valérie Reigers,,No,,No
Ross Buhrdorf,,No,,No
Sonja Otto,,No,,No
Gareth Haslam,,"Pubs, No Profile",,No
YunQi Xue,,No,,No
Zohar Neu,,No,,No
Alastair Jamieson-lane,,"Pubs, No Profile",,https://www.researchgate.net/scientific-contributions/2113797426_Alastair_Jamieson-Lane
Bahattin Tolga Oztan,,No,,No
Santiago Guisasola,,No,,No
Melissa Eitzel,,MV Eitzel,"University of California, Santa Cruz",https://www.researchgate.net/profile/Mv_Eitzel
David Pugh,,No,,No
Lula Chen,,No,,No
Ivana Stankov,,No,,No
Hirotoshi Yoshioka,,No,,No
Kleber Tulio Neves,,No,,No
Andre Veski,,No,,No
Haitao Shang,,No,,No
Rémi Lamarque,,No,,No
Stephen Leese,,No,,No
Katarina Mayer,,No,,No
Aleksandra Aloric,,"Pubs, No Profile",,https://www.researchgate.net/profile/Aleksandra_Aloric
Anne Sallaska,,No,,No
Micael Ehn,,No,,No
Aida Huerta Barrientos,,Aida Huerta,UNAM,https://www.researchgate.net/profile/Aida_Huerta2
Lynette Shaw,,No,,No
Peter Krafft,,P. M. Krafft,Oxford Internet Institute,No
Joris Broere,,NA,,NA
Nayely Velez-Cruz,,NA,,NA
Damon Frezza,,NA,,NA
Hilje Doeks,Hilje Doekes,"Pubs, No Profile",,https://www.researchgate.net/scientific-contributions/2120835130_Hilje_M_Doekes
Snehalkumar ‘Neil’ S. Gaikwad,,"Pubs, No Profile",,No
R. Marıa del Rıo-Chanona,,"Pubs, No Profile",,https://www.researchgate.net/profile/R_Maria_Del_Rio-Chanona
Zhang Fengfang,,No,,No
Wang Qiutao,,No,,No
Rafal Raciborski,,"Pubs, No Profile",,No
Yuichi Washida,,No,,No
Allison Binns,,No,,No
Ray Pan,,No,,No
Catherine Spence,,No,,No
Eleanor Wynn,,No,,No
Itzel Zamora-Vilchis,,"Pubs, No Profile",,https://www.researchgate.net/profile/Itzel_Zamora-Vilchis
Sutirth Dey,,No,,No
Christopher Marton,,No,,No
Spyridon Kotsovilis,,No,,No
Zhang Alex Xuehu,,No,,No
Xiaowu Zhu,,No,,No
Xiao Ruan,,No,,No
Christopher Vitale,,No,,No
Adrian de Froment,,"Pubs, No Profile",,https://www.researchgate.net/scientific-contributions/2057680128_Adrian_de_Froment
Walter Zesk,,No,,No
Dan Rockmore,,"Pubs, No Profile",,https://www.researchgate.net/scientific-contributions/2080086444_Dan_Rockmore
Debora Hammond,,"Pubs, No Profile",,https://www.researchgate.net/profile/Debora_Hammond
Edward Augenblick,,Ned Augenblick,"Haas School of Business, University of California, Berkeley",https://www.researchgate.net/scientific-contributions/81840161_Ned_Augenblick
Jacob Harold,,No,,No
Jiang-Hai Li,,No,,No
Brian Hallmark,,"Pubs, No Profile",,https://www.researchgate.net/profile/Brian_Hallmark
Aleix Serrat-Capdevilla,,Aleix Serrat-Capdevila,University of Arizona,https://www.researchgate.net/profile/Aleix_Serrat-Capdevila
Jennifer Wells,,No,,No
Basit Chaudhry,,No,,No
Graham Ritchie,,No,,No
Greg McInerny,,"McInerny, G J.",University of Warwick,https://www.researchgate.net/profile/Greg_Mcinerny
KiKi Benzon,,No,,No
Chu Jianxun,,No,,No
Tihamer von Ghyczy,,"Pubs, No Profile",,https://www.researchgate.net/scientific-contributions/2026778714_Tihamer_Von_Ghyczy
Xiao Yongjian,,No,,No
Tejaswini More,,No,,No
Randy Casstevens,,"Pubs, No Profile",,NA
Miles Townes,,No,,No
Ryan Baird,,No,,No
Chris Glazner,,No,,https://www.researchgate.net/scientific-contributions/2131086665_Christopher_G_Glazner
Jason Veneman,,No,,No
Michael Lightfoot,,No,,No
David Borenstein,,No,,No
Amy Braun,,No,,No
Gustavo Nicolas Paez Salamanca,,"Pubs, No Profile",,No
Andrew Tinka,,"Pubs, No Profile",,https://www.researchgate.net/profile/Andrew_Tinka
Victor Quintanar-Zilinskas,,"Pubs, No Profile",,https://www.researchgate.net/profile/Victor_Quintanar-Zilinskas
Nora Connor,,No,,No
Leonida Gheorghiade,,No,,No
Anand Murugesan,,No,,No
Ronnie Garduño,,No,,No
Luther Seet,,NA,,NA
Patrick Steinmann,,NA,,NA
Wenqian Yin,,NA,,NA
Erwin Knippenberg,,NA,,NA
Kate Wootton,,NA,,NA
Toni Pichler,,NA,,NA
Andrea Bacilieri,,NA,,NA
Jackie Brown,,No,,No
Kyle Furlong,,NA,,NA
Emily Coco,,NA,,NA
Shihui Feng,,NA,,NA
Mikaela Akrenius,,NA,,NA
Ahyan Panjwani,,NA,,NA
Ludvig Holmer,,NA,,NA
Ritwika Vallomparambath PanikkasserySugasree,,NA,,NA
Pam Mantri,,NA,,NA
Kirtus Leyba,,NA,,NA
David Gier,,NA,,NA
April Kleppe,,NA,,NA
Laura Stolp,,NA,,NA
Doug Reckamp,,NA,,NA
Kenzie Givens,,NA,,NA
Marjorie Ylisiurua,,NA,,NA
Ignacio Garnham,,NA,,NA
Billy Braasch,,NA,,NA
Aabir Abubaker Kar,,NA,,NA
Chris Boyce-Jacino,,NA,,NA
Jeongki Lim,,NA,,NA
Levi Fussell,,NA,,NA
Ruggiero Lo Sardo,,NA,,NA
Ethan Nadler,,NA,,NA
Jessica Brumley,,NA,,NA
Kunaal Joshi,,NA,,NA